Generated from SteeringPlates.iob -- V1 = 0V V3 = -15V
Final Y pos (mm), Final Z pos (mm)
13.920254271618,20.18347599151
13.486763075092,19.984153354328
13.310621500875,20.010592890397
12.671277126962,19.785232146729
12.788957005098,19.843472364406
12.271466974919,20.411338105642
13.850255374993,19.72265062981
12.854263227636,19.745033160151
13.876090980445,19.638697920526
12.67231517275,19.660397091334
12.407644259772,19.673724740718
14.108460727378,20.29571761941
13.574704137783,19.998896278029
13.592607139879,19.754874844777
13.615670812515,20.396562332211
13.039042653904,19.573911552813
12.224852537303,20.029257713611
13.527952066281,19.789746203629
12.7881968001,20.477395564078
13.421809146906,20.241883898149
