Generated from SteeringPlates.iob -- V1 = -5V V3 = 10V
Final Y pos (mm), Final Z pos (mm)
25.68472162836,16.020717764788
24.506020931636,15.239292039479
25.294291520012,14.543668512049
24.530152902445,16.109303962625
24.922176093539,16.567475257484
25.161848906149,14.616745153927
24.986414496243,15.287421407852
24.905433347684,16.44271936494
25.345345333705,16.684764306931
25.117755932928,16.804987250566
25.059807987345,14.720388361971
25.292759476794,15.087461839146
24.830580022334,15.74399250635
24.540245849215,15.693989157859
25.363220290694,16.184521636668
24.915886142312,16.895839740554
24.754957767953,14.843608809692
25.058134378404,16.309896711438
25.375849580149,15.415967410904
25.296156381519,16.583006313785
