Generated from SteeringPlates.iob -- V1 = -5V V3 = -5V
Final Y pos (mm), Final Z pos (mm)
16.888739902247,16.511047337474
17.704469413296,16.753317442161
17.374677880373,16.759254380275
17.444219271909,15.216632452598
17.964829343238,16.629548866605
18.040787181765,15.945112992562
18.083069911915,16.429154738371
17.454435977956,16.468140086907
16.687557188584,15.76817804457
17.413474840958,15.803937207503
18.559343277698,15.915852460341
18.249557747461,15.692320840131
17.51398971106,15.231426459998
17.02905840955,16.30458159161
18.428059659259,16.041099796226
17.488451186448,16.976090543903
17.455549933043,15.94515038339
18.483208549181,16.444887493871
17.602390842928,15.817426604981
17.450648985341,16.485754948109
