Generated from SteeringPlates.iob -- V1 = 5V V3 = 10V
Final Y pos (mm), Final Z pos (mm)
25.626248914398,23.768881648218
24.13585071017,23.559941167471
24.069412502485,23.853265616274
24.784480804915,25.094809512065
25.69126458583,24.232436235366
24.59652974996,24.617485931094
24.81002185096,23.553591204183
25.342473258619,23.876894961578
24.088782265755,24.005516227958
25.330918936309,23.652876456043
25.612220062851,24.385439703183
24.33526566961,23.871602565881
25.573912227651,24.388533922517
24.713196920415,23.06328416802
24.67003047074,23.746349536122
25.483863998593,24.667478896348
25.209119417374,23.608476356718
24.428947560379,24.311722845491
24.356603044183,25.019517770211
24.316705227142,24.300388376736
