Generated from SteeringPlates.iob -- V1 = -5V V3 = 10V
Final Y pos (mm), Final Z pos (mm)
25.101042015622,16.54089134822
25.42583701338,15.560020773385
25.015994009816,16.54334758655
25.078439128803,14.845499702396
24.549805873162,14.739649610228
24.831146213954,16.343987542174
25.002534224479,15.465651880642
24.409737860924,15.502119485752
24.961041597648,15.442787158956
24.471158850359,15.235745392844
24.958351564845,16.565380077305
24.724405563347,15.939793539944
25.338794996415,15.004355000115
25.306705119627,16.781466301448
25.371663287341,15.354013033647
24.52857754697,16.381702038059
25.050380474482,16.472707279409
24.890074636265,16.148321092854
25.409585619733,16.136824052946
25.16370033022,14.792334678917
