Generated from SteeringSweep.iob -- V1 = -15V V3 = 5V
Initial Y pos (mm),Initial Z pos (mm),Final Y pos (mm), Final Z pos (mm)
20.435407574694,20.551438947722,20.700827581221,5.1709601500785
19.58125553148,19.724265266884,20.338062183285,3.8447474445812
20.498886074404,20.860286263619,20.739429246225,5.6616519170332
19.833094271676,19.406323435163,20.434598888907,3.3278851181224
20.222205267495,19.135746330149,20.575538526039,2.9036349178054
19.408459730827,19.25977355266,20.275535515959,3.0914530791674
19.56727805414,20.450300607318,20.325867214398,5.0009058274192
19.979766228217,20.065584276864,20.498562943437,4.3927894120065
19.674947355571,20.300088503677,20.372895984085,4.7642615830687
19.904019287698,20.13803521836,20.468127336545,4.5073620390379
20.848261970885,19.831263161107,20.841180579921,4.0520916143025
20.48924222541,19.849574266793,20.699217593364,4.0674163139661
20.300210577715,20.7507248146,20.647124338109,5.4820505594522
20.487899410993,20.871639149144,20.734813561788,5.6790801417579
20.842280343028,20.31394390698,20.864730420449,4.8149815787504
19.71987060152,19.950224311045,20.392516107098,4.2107876632976
19.960173345134,19.865382854701,20.488444679392,4.0731723670474
19.230475783563,20.235389263588,20.190071579955,4.6670621466739
19.891872920927,19.99417096469,20.462160589963,4.2798629840728
20.217078157903,19.723776970733,20.587757915582,3.8518483266954
