Generated from SteeringSweep.iob -- V1 = 10V V3 = 20V
Initial Y pos (mm),Initial Z pos (mm),Final Y pos (mm), Final Z pos (mm)
19.565141758477,19.240058595538,27.690198976852,25.883720485836
20.541489913633,19.985930967132,28.348680007782,26.744314704317
19.625385296182,19.732627338481,27.717970466549,26.507561825362
20.501083407086,19.42402417066,28.351959451536,26.058752692142
20.473555711539,20.361003448592,28.267385277347,27.213862226305
19.117191076388,20.013641773736,27.367171959576,26.907103869701
19.566240424818,19.970976897488,27.666693414915,26.8162864467
19.204535050508,20.253212073122,27.410010321513,27.211714189991
20.970458082827,19.8537858211,28.675268996163,26.540778096251
19.385387737663,19.877529221473,27.548539290537,26.710147470506
19.606219672231,19.450636310923,27.714187676992,26.14995996736
20.088045899838,19.272164067507,28.056694590802,25.898023319438
20.60570085757,20.422650837733,28.357231797915,27.274981251346
19.682882168035,20.940549943541,27.664827607303,28.054906573232
20.685659352397,19.598467970824,28.480045223777,26.25779450614
20.74956511124,19.454542680136,28.535523217292,26.078161803004
19.210089419233,20.198095645009,27.416936985206,27.139336980345
19.871730704672,19.733603930784,27.887227058222,26.491286198594
20.111911374248,20.248512222663,28.020806490548,27.114829982173
19.954435865352,19.087588122196,27.965788364718,25.677275805175
