Generated from SteeringPlates.iob -- V1 = 5V V3 = 0V
Final Y pos (mm), Final Z pos (mm)
19.984536720524,24.552495750411
20.893884908172,24.233684251022
20.457150337887,24.307083700328
19.969860402655,23.378101427087
19.385847637585,24.284777452608
20.520137820689,24.566592434141
20.712966288864,23.795946091373
21.004524035432,23.601185071774
20.550151682575,23.91125095845
20.524484351328,24.125721782927
19.725416498823,23.110930586651
19.445549305143,23.849088620234
19.617975503463,23.236080794393
19.06031777947,23.921288770461
19.482366100273,23.685963165333
19.455400662852,24.4730945205
19.957063902804,23.727599233358
19.231503775923,23.376548020557
18.970219598309,23.983270427918
20.116009414652,22.991352389152
