Generated from SteeringPlates.iob -- V1 = 5V V3 = -15V
Final Y pos (mm), Final Z pos (mm)
13.002428470647,23.124081536046
12.98525853709,23.547282820904
12.82833545468,24.009821021728
12.450380379183,23.501397950018
14.008202906978,24.003302860973
12.177469514645,23.652100361243
14.106917097172,23.639323664448
13.835023719439,23.574832722993
13.744612127724,24.171507237651
14.532903862754,23.709400556343
14.042318151852,23.114433138341
13.410447991759,24.128966071217
13.688117875781,23.547652745746
13.699266459278,23.292010424675
14.193118291913,23.951044043187
13.505906184018,23.291678449367
13.635624822536,23.337052799241
12.70360196666,23.488139303992
14.009077594349,23.693752490038
14.062213793107,23.628567712512
