Generated from SteeringSweep.iob -- V1 = 0V V3 = 10V
Initial Y pos (mm),Initial Z pos (mm),Final Y pos (mm), Final Z pos (mm)
20.631092257454,19.875576036866,23.460132992743,18.152577096533
20.017975402081,20.758842738121,22.987579882733,19.255619292335
19.644672994171,20.825006866665,22.700823889182,19.341951909045
19.281075472274,20.389507736442,22.429163967537,18.792426270383
19.230597857601,20.418317209387,22.391007132828,18.829245984186
20.092257454146,19.2492751854,23.03636923936,17.355096949575
20.57249671926,19.226813562426,23.404129848132,17.33884478155
19.371166112247,19.677510910367,22.495284592061,17.886889092726
20.356303598132,19.080263679922,23.233470422888,17.149018476516
20.279519028291,19.789391766106,23.186926684488,18.03990006988
19.73439741203,19.130497146519,22.762646839889,17.196141893344
20.282876064333,20.700979644154,23.192269112889,19.182580101023
19.129093295083,19.874477370525,22.315987033969,18.135889497277
19.317148350475,19.647358623005,22.454769176511,17.847767365939
20.457564012574,20.853083895383,23.326957580833,19.371630609362
20.121005890072,20.124668111209,23.068924747618,18.458750190234
20.178563798944,20.360576189459,23.113513385665,18.755499306374
20.169286172063,20.521591845454,23.105651380762,18.957696390269
20.60106204413,20.538499099704,23.440704003997,18.979486101751
20.443830683309,19.839197973571,23.313936244967,18.104620525741
