Generated from SteeringPlates.iob -- V1 = -5V V3 = -20V
Final Y pos (mm), Final Z pos (mm)
10.725973582672,16.281279243376
9.8132539220444,16.61309404122
10.528307930668,16.758144271601
10.781677850979,15.670032704166
10.501126956316,16.179154378036
11.928415077002,16.581030243819
11.905892758005,16.41815254166
10.658450752488,16.514750635656
10.057658553499,16.760480474548
11.649450092505,16.390608433263
10.706769367096,16.493029197544
11.044515291641,15.947613146435
10.149016078981,16.228547688275
11.39695658072,15.778216563955
10.058219896681,16.511573960448
10.438076353022,16.422252367611
11.60989371438,16.466814538481
11.046427696985,16.737590263096
10.819169818988,15.886414480438
10.475542422372,16.200348987747
