Generated from SteeringSweep.iob -- V1 = 15V V3 = -15V
Initial Y pos (mm),Initial Z pos (mm),Final Y pos (mm), Final Z pos (mm)
19.925809503464,20.489547410504,11.735835876067,29.192478128025
19.136173589282,19.856654560991,10.523358732196,28.781571528638
19.30634479812,20.037079989013,10.793536885931,28.882204267038
19.865993224891,19.533585619678,11.542252286051,28.73430035434
19.093081453902,19.662373729667,10.437310947358,28.694921708161
20.262001403851,19.844447157201,12.127387993925,28.925287305505
20.541489913633,20.235755485702,12.554655435036,29.154166625186
19.511185033723,20.015350810266,11.086803587157,28.901750507045
20.295449690237,20.724600970489,12.278408630867,29.370703573315
19.586260567034,20.058565019684,11.200133940012,28.931991602398
20.522568437757,19.487136448256,12.462273900246,28.78151508388
20.526535843989,19.600054933317,12.476000115563,28.836280316936
20.830683309427,19.705954161199,12.902900061291,28.920094765229
20.616260261849,20.564806054872,12.695580838315,29.338779487178
19.816858424635,20.360271004364,11.566556146271,29.11063894169
20.052827539903,19.341990417188,11.789844711801,28.668163433324
20.368755149998,19.620380260628,12.257016092678,28.830103466709
20.825922421949,19.460036011841,12.880537157189,28.796889481906
20.410321359905,19.187932981353,12.285254305938,28.626313415083
20.409894100772,19.758079775384,12.326040270896,28.900303417389
