Generated from SteeringSweep.iob -- V1 = -20V V3 = -15V
Initial Y pos (mm),Initial Z pos (mm),Final Y pos (mm), Final Z pos (mm)
20.267372661519,19.54982146672,11.320088056458,0.67284397487344
20.820184942167,20.155308694723,11.439986220033,1.2134048898332
20.214392529069,20.334757530442,11.037750893502,1.6503777999509
20.607043671987,20.310831019013,11.279901649974,1.4821844575252
19.374889370403,19.444410534989,10.804072374468,0.96545237459678
20.945921201209,19.769676808985,11.614390499503,0.6668956193043
19.877346110416,19.457411420026,11.124577215447,0.74068257482485
20.337931455428,19.520584734642,11.370790157185,0.60505651072132
19.440137943663,19.457716605121,10.84260304983,0.94943284465917
20.540574358348,19.493728446303,11.494099934954,0.48146207871985
20.203772087771,19.840479750969,11.181886543391,1.0609824052697
19.203436384167,20.575304422132,10.285069267692,2.2974319400458
20.236671040986,20.444135868404,11.021804954871,1.7704285092143
19.679525131993,19.101992858669,11.147413715025,0.41314854255426
20.342081972716,20.418866542558,11.092932283784,1.7039795428688
20.839777825251,20.497482222968,11.366479722421,1.6306074859151
19.14093447676,20.226660969878,10.349783729287,1.9490118771922
19.32209234901,19.774071474349,10.638637635393,1.3676065778536
19.815698721274,20.661549729911,10.69440072364,2.1710701740882
19.325937681204,20.450727866451,10.411248408492,2.1176833989691
