Generated from SteeringPlates.iob -- V1 = 15V V3 = 5V
Final Y pos (mm), Final Z pos (mm)
22.322288605753,31.271321820416
22.576105781171,31.56089752367
22.00013293537,31.631946950552
21.873283309263,31.732950527424
21.412619995831,31.473168395303
22.241807280328,31.339417217442
21.555300450184,31.853647733508
22.853352467252,30.813502416634
22.785183670661,31.671746578073
21.532988546148,32.01789036126
21.526705527729,30.893246825009
21.272854764895,31.413894671523
22.0055114581,31.011722224041
23.20566444493,31.21162982304
21.268700879099,31.264005035836
21.736216208566,30.857562025463
22.382492153609,31.817349958628
22.069723398624,31.740205112846
23.286322966025,31.091433908879
21.307886402964,31.15064249189
