Generated from SteeringPlates.iob -- V1 = -5V V3 = 0V
Final Y pos (mm), Final Z pos (mm)
19.211106201174,16.258630034384
20.50154069175,15.701393322633
20.519654460368,15.365732084243
19.656205841506,16.363815285957
20.347444005014,15.116387078306
19.382265349418,16.300971004131
19.235669226973,16.242611634415
19.45861608156,15.883249258174
19.2396602168,16.187576563317
19.922416788263,16.510867473832
19.513891566433,15.432549747125
20.386906560511,15.974628871819
19.995307172855,16.382948111691
19.378544749612,16.276321275099
20.586712949137,15.256753272453
20.252162669359,15.670300986036
19.655020919297,15.091959711441
19.566113284881,16.188799650635
19.24552342936,15.372651934807
20.535116385814,16.480314766764
