Generated from SteeringPlates.iob -- V1 = -10V V3 = -10V
Final Y pos (mm), Final Z pos (mm)
15.432796401119,11.599474753163
15.912012686814,11.383938504184
15.031163781746,11.143190798703
15.0225967631,11.852249748512
15.936065380069,12.639855715008
14.587580848683,12.139894258703
16.051258678048,12.436608809787
16.056763070115,11.922796307273
14.401158423098,11.707934495868
15.0743489563,12.328451257543
15.923122647715,11.676099277158
14.966218028432,12.674209606122
14.971302430399,12.183778725468
14.847992987615,11.585778607464
14.424008353913,12.416825737144
15.638160670524,11.476794406795
14.409234053592,12.350218986122
15.789309038738,12.165165041815
15.016219777299,11.596851164382
14.47116607674,12.61288508479
