Generated from SteeringPlates.iob -- V1 = 0V V3 = -20V
Final Y pos (mm), Final Z pos (mm)
11.888233654365,20.391353332138
10.572267423272,19.556879524848
10.223471203267,20.177237124161
12.197288520536,20.271607773789
11.910044886876,20.367916761389
11.607905809371,20.373531440573
11.402004317177,19.860274867561
11.67139224569,19.932994648344
11.086094898748,19.731649217351
11.749605595481,19.59039744242
11.342341806546,19.543989531299
10.249962608395,19.82213244356
11.266080719941,19.54721053949
10.659770913109,20.293704118025
11.099274846168,19.776403177224
11.301093318375,19.570108090326
11.328023840821,19.99229923988
11.146600656121,19.796213617701
11.375398499267,20.546316767195
10.352644863684,20.054089333543
