Generated from IonStartSweep.iob -- KE = 45eV ConeAngle = 10deg
X-pos(mm),Y-pos(mm),Z-pos(mm)
120.10476979258,15.799443788276,17.721792599194
120.08954832417,17.339176036763,16.600155364776
120.09891223555,12.443254772003,16.225551301339
120.08497189774,16.724687943617,12.748651569762
120.10238696094,12.201683373153,15.485085010902
120.09452100985,17.500643292441,13.666971628801
120.10318412995,15.967476320244,17.664975248164
120.07921561458,12.847748931813,16.844378565868
120.0914671562,13.491749199033,12.601138018464
120.07859926307,16.857190888639,17.141072604815
