Generated from IonStartSweep.iob -- KE = 30eV ConeAngle = 10deg
X-pos(mm),Y-pos(mm),Z-pos(mm)
120.63229878881,12.677225089088,14.600842574099
120.63155384319,12.825693101297,14.085482776419
120.63167058878,14.703367943677,17.338515706656
120.63343964042,17.162162441248,14.056678078381
120.63347446635,13.165934300102,16.4916332681
120.6278209041,15.106550168803,12.643425643288
120.62959310942,14.120493608104,12.811803853218
120.64064321,13.007112176227,13.733925007242
120.6321010868,17.172308467798,14.081119707142
120.63986011196,16.148989954556,12.936489014144
