Generated from IonStartSweep.iob -- KE = 10eV ConeAngle = 30deg
X-pos(mm),Y-pos(mm),Z-pos(mm)
120.76570509381,13.523274683234,11.547631504536
120.91529333686,14.863866834817,11.229165690357
120.92636654698,11.227922276441,14.884012346128
120.40030286313,12.618099984627,12.098809949868
120.63439830903,16.358619010424,11.495312268761
120.37992569154,11.906714044367,12.87152156414
120.59563502874,16.321707649426,11.478992505046
120.39505387013,12.094375568196,12.623648128007
120.81657186364,18.443419901225,13.503701260573
120.35365123851,17.299071034133,17.965810509192
