Generated from IonStartSweep.iob -- KE = 20eV ConeAngle = 40deg
Final-Y-pos(mm), Final-Z-pos(mm)
13.801242650069,18.559721151514
18.548099599788,13.984317693864
18.577392020978,13.745080189986
14.952784351587,18.618911246344
11.734092959377,13.051460595212
16.707396211227,18.436293372612
18.287042624327,16.926498979461
11.400030153178,15.724146525182
18.607356406384,15.681438997534
11.390413008278,14.869319980466
13.784258601542,18.56741042646
14.384966164239,11.399832071763
18.594481832866,14.515233724365
15.805410075304,18.573638763379
15.034597820868,18.619957092393
16.542352996918,18.510736157779
18.545729229979,16.058171034922
14.557375786166,11.405133829832
11.504426357111,13.385110918912
14.034524000988,11.447136844616
14.291707404417,11.396349286579
13.829928500139,11.446447152381
14.150729888189,18.56669902835
17.049809121331,11.843817017995
16.938070648035,18.274889322774
18.548627393659,13.992570607665
11.446068646682,14.038616471379
12.378463223863,12.201584016148
16.256002076689,18.578149323578
11.406420546964,14.255860346244
14.572899030711,18.594589339412
16.499726558229,11.485191630252
11.403421522252,15.507551661131
14.127609879818,18.563223571051
15.600822932001,11.400649353375
16.44152969796,18.528451735398
18.548288727501,16.012695963775
11.404792352763,15.417029576657
15.926325172239,11.443746146034
11.444081571029,13.651416554125
18.563165826204,14.133917604661
16.097334252944,11.453123075563
18.622039789219,14.986217083154
14.910734866217,18.613602782205
11.422815878319,13.726120610812
18.594049186688,14.549415865106
12.636673647695,12.11220853763
11.427886132025,14.180518359113
13.667833188384,11.438757611462
18.016835749318,12.787858729464
17.973724425461,17.237850103975
16.872271416154,11.653995969508
14.605306141094,11.406128905832
18.596710234103,14.434325640884
17.293866092682,17.903559261596
14.79205153547,18.601882996683
13.4440288902,11.490189751387
16.05680686119,11.453456708655
14.960877426853,11.379965885938
16.330133142355,18.561300761548
18.51135076083,13.47510866053
18.598480907052,14.399591577669
18.395004107931,16.799723250224
11.403084121536,15.297073974519
12.146194302061,17.581323220428
18.593966459047,15.438747603343
13.049419072067,11.73618723092
18.235481573344,16.97566196148
17.249428024095,17.950145294202
16.556256336883,18.509604919149
14.786402161246,18.601448578993
11.405342656506,14.604279439063
14.953593555454,11.380978837735
16.400859015768,18.535658801736
11.404353399675,15.439883324973
17.470505168234,17.898761587526
18.450279064355,13.313741579922
15.541996907815,11.403350818711
14.017673710874,11.44838593062
11.755154658895,13.031276091604
18.596354271678,14.723562497505
16.719518439105,11.571577528024
14.366730768634,18.601373527076
13.886496359468,18.54751865025
17.979150476915,12.764680135734
14.349883344841,18.605037748668
11.399331069681,14.76595931097
11.414531201864,15.774927617346
17.950936570367,12.750690845853
13.822911474251,18.554558675426
12.979978931295,11.810167429595
11.399717371782,15.239694729932
18.545767748826,13.939336395044
17.898230509213,17.440987834401
16.164595201193,18.553035530295
17.888547622813,17.374157597224
16.834011819143,11.619996366507
18.401198746942,13.229761593222
11.502712732477,13.389399614825
13.040402875711,18.25460101183
18.598119473514,15.247350301975
15.547255418084,18.596824845645
17.847389421265,12.414611728023
11.442533575265,16.188732833471
13.725346703937,18.576395242952
17.266554545276,17.926273599566
12.220451162691,12.367460901668
18.593071879653,15.371158212587
11.619107179896,16.834848596289
17.383951903615,12.108912214412
17.854947369666,12.421257099907
12.994978348766,18.205910916212
15.8673284941,18.563673025
18.191647501073,12.983176236705
17.625695636991,17.788717737563
15.032978841723,18.620181870915
18.594927066087,15.507905882827
11.456757937081,16.381993806214
18.275390210711,16.937648206273
11.992090152173,12.779539394437
13.669830749303,11.438113700836
18.389483638001,16.815426837565
14.250046407832,11.408842725163
11.500192740259,16.604388440588
15.998045121154,11.449867846428
12.108294488257,12.677711257471
17.739871005379,12.343735772356
16.523838770003,18.512226112664
11.490933315265,13.426412263618
18.545747805747,16.065693588869
12.088321186219,12.71567535202
17.244651012867,12.041248666984
17.655362875399,17.740831298914
12.679007033323,17.891693088563
13.660565402108,11.441291062317
11.379928431101,15.040923097458
11.402805661539,15.733065634151
11.843571454308,17.051298379734
11.442578341167,16.344664500583
18.527591268284,16.44251555939
15.347243215805,11.406021017875
13.629685742562,18.547235015845
15.58720226189,18.598568202092
16.337400051975,11.441233937828
11.446550986024,13.644866394376
17.040906103473,11.834450389681
17.238754753402,12.029025607465
12.364644863343,17.775489150388
13.819373772976,18.555119772444
17.964281743482,17.242360365736
15.188093539832,18.603157382876
16.131768671716,11.450669165117
17.280727449026,12.08699530439
18.59405568185,15.452064699562
11.430993280982,14.161129787311
11.447609783946,16.153121932052
12.433735872737,17.868135366606
18.115390939675,12.91160773249
18.593383293114,15.339825261782
15.063722978256,18.616111938273
15.546503944842,18.596799001476
14.041241761263,11.446613811187
18.555498878951,15.926545455696
18.446841734146,16.69119479558
11.784773224077,16.996230119389
18.2227404887,16.987580808534
12.099906669454,17.447661030308
16.834011819143,11.619996366507
18.596914434055,14.73325997848
18.618898093498,14.962723555602
17.689662365918,17.69689392136
18.592990386201,14.603155577698
18.01801931036,17.211120216383
18.545619033332,13.91870261341
11.403881522218,15.483669466407
18.545661461361,16.08422828691
17.894594195096,17.411232806197
11.70935885204,13.075276105034
15.90017690761,11.440813158628
17.794475279651,12.377501377947
12.710501057274,17.907579608322
13.102085255738,11.679549897745
18.622485652428,14.98945936402
14.933370156802,18.616371588221
18.394277317222,16.802658104121
14.395582097975,18.599506294691
17.339756671787,12.11284458214
11.401957794743,14.442214108923
18.573597806383,15.803436988219
15.200198863348,18.602178425115
16.803913371665,18.394572807331
17.548116514033,12.120609991877
12.580753625427,17.896446958234
11.434430659287,14.138767392604
14.006234699947,18.550724469332
