Generated from IonStartSweep.iob -- KE = 05eV ConeAngle = 50deg
X-pos(mm),Y-pos(mm),Z-pos(mm)
120.48047814983,18.710454372005,13.437969751953
120.28089990447,11.140567478128,16.117555762946
120.38075125067,17.344191763067,18.257727168233
120.60511797924,17.625502879394,11.960582910639
120.49573034808,16.867160259113,18.564962301915
120.15035574297,17.836881690349,12.169973488796
120.23582157385,11.113737142207,16.00760599025
120.55453620989,12.343054681465,18.009446749693
120.53075069922,18.962334875904,14.485307289495
120.4979616653,14.546702451795,11.030368462512
