Generated from IonStartSweep.iob -- KE = 15eV ConeAngle = 10deg
X-pos(mm),Y-pos(mm),Z-pos(mm)
120.68432887659,15.930586296858,16.440177511039
120.68394995693,14.150854264832,16.489891599726
120.68323282729,15.746615040184,16.54424968795
120.68231229271,16.572693411544,14.313956872429
120.68455963693,16.400300906092,15.989721665055
120.68555730563,16.210122323199,13.783142112291
120.67998790861,13.371260796466,14.453548049145
120.68366843524,13.479159099973,14.206971368739
120.68533405704,13.652262557936,13.939101267435
120.68592632577,16.279666004511,13.856907571835
